=== Evaluation Results for input_childSpeech_testSet.txt ===

Block size used: 128
Final Perplexity: 22.81
Average Loss: 3.1274
Number of blocks evaluated: 188

=== Loss Progression ===
Position,Loss
0,3.1434690952301025
128,3.075936794281006
256,3.076963424682617
384,3.102139711380005
512,3.0807013511657715
640,3.1212589740753174
768,3.1215577125549316
896,3.1475155353546143
1024,3.1579465866088867
1152,3.113314390182495
1280,3.133406400680542
1408,3.1281208992004395
1536,3.185558795928955
1664,3.20774507522583
1792,3.194856643676758
1920,3.1098170280456543
2048,3.1278936862945557
2176,3.1456685066223145
2304,3.187014102935791
2432,3.1648521423339844
2560,3.1475982666015625
2688,3.0544886589050293
2816,3.1238231658935547
2944,3.103447437286377
3072,3.1802854537963867
3200,3.050595760345459
3328,3.176412582397461
3456,3.1566555500030518
3584,3.106534004211426
3712,3.122967481613159
3840,3.1332483291625977
3968,3.136138677597046
4096,3.153104543685913
4224,3.1253528594970703
4352,3.0870859622955322
4480,3.183310031890869
4608,3.099360704421997
4736,3.108792543411255
4864,3.128847599029541
4992,3.1487069129943848
5120,3.1203908920288086
5248,3.1270034313201904
5376,3.074847459793091
5504,3.1307060718536377
5632,3.0183820724487305
5760,3.1495018005371094
5888,3.1686043739318848
6016,3.0965805053710938
6144,3.1292600631713867
6272,3.1351497173309326
6400,3.18990421295166
6528,3.1995370388031006
6656,3.1366727352142334
6784,3.0926005840301514
6912,3.2420194149017334
7040,3.076296091079712
7168,3.1262166500091553
7296,3.099928140640259
7424,3.065922737121582
7552,3.0758965015411377
7680,3.0967483520507812
7808,3.082695245742798
7936,3.14215087890625
8064,3.118206024169922
8192,3.1314706802368164
8320,3.1601145267486572
8448,3.094149351119995
8576,3.0994150638580322
8704,3.209197759628296
8832,3.134800672531128
8960,3.1748015880584717
9088,3.178722381591797
9216,3.0987954139709473
9344,3.0971765518188477
9472,3.1426336765289307
9600,3.1615545749664307
9728,3.0640411376953125
9856,3.099959373474121
9984,3.22393536567688
10112,3.105886697769165
10240,3.2012441158294678
10368,3.0327415466308594
10496,3.107482671737671
10624,3.0839786529541016
10752,3.1388185024261475
10880,3.129627227783203
11008,3.102675199508667
11136,3.1700472831726074
11264,3.040316581726074
11392,3.1028664112091064
11520,3.1133410930633545
11648,3.0793819427490234
11776,3.13665771484375
11904,3.07224178314209
12032,3.1930668354034424
12160,3.089682102203369
12288,3.187784433364868
12416,3.1004045009613037
12544,3.1774070262908936
12672,3.088446617126465
12800,3.136929988861084
12928,3.1561830043792725
13056,3.1465113162994385
13184,3.228689670562744
13312,3.1477088928222656
13440,3.126600742340088
13568,3.0544192790985107
13696,3.1496386528015137
13824,3.077054500579834
13952,3.0317983627319336
14080,3.1234230995178223
14208,3.135607957839966
14336,3.1942806243896484
14464,3.1050946712493896
14592,3.1329259872436523
14720,3.178356170654297
14848,3.1996800899505615
14976,3.1293768882751465
15104,3.1449923515319824
15232,3.232243299484253
15360,3.112530469894409
15488,3.1726856231689453
15616,3.139186382293701
15744,3.174304485321045
15872,3.080615520477295
16000,3.092175006866455
16128,3.1022629737854004
16256,3.1493172645568848
16384,3.047287702560425
16512,3.1049766540527344
16640,3.1310834884643555
16768,3.127384901046753
16896,3.169163703918457
17024,3.0638480186462402
17152,3.128267288208008
17280,3.134265184402466
17408,3.1739766597747803
17536,3.0991787910461426
17664,3.145638942718506
17792,3.0520071983337402
17920,3.0886409282684326
18048,3.0447025299072266
18176,3.1419734954833984
18304,3.1613616943359375
18432,3.120863914489746
18560,3.0971357822418213
18688,3.1196980476379395
18816,3.1802077293395996
18944,3.1127736568450928
19072,3.175450086593628
19200,3.159832715988159
19328,3.1746575832366943
19456,3.0909202098846436
19584,3.13179612159729
19712,3.1363894939422607
19840,3.1826093196868896
19968,3.1003119945526123
20096,3.135049819946289
20224,3.149782419204712
20352,3.0866689682006836
20480,3.1139557361602783
20608,3.078913450241089
20736,3.1619527339935303
20864,3.1437149047851562
20992,3.0904595851898193
21120,3.2122769355773926
21248,3.12251615524292
21376,3.204977512359619
21504,3.134258985519409
21632,3.121852159500122
21760,3.0539910793304443
21888,3.1505045890808105
22016,3.126753330230713
22144,3.099940061569214
22272,3.0424444675445557
22400,3.0934808254241943
22528,3.1546199321746826
22656,3.0713770389556885
22784,3.1182613372802734
22912,3.143303871154785
23040,3.10556697845459
23168,3.1019129753112793
23296,3.0749804973602295
23424,3.1708731651306152
23552,3.183783769607544
23680,3.175351858139038
23808,3.130169630050659
23936,3.0648353099823

=== Text Generation ===
Context used (128 characters):
Look airplane I want cookie
I love you I found it
I see doggy No touch
I tired Night night
Yummy apple Night night
Night night N

Generated text:
re e t yBhma yd  oHnpLIt  Agdo tdleo
i e sIe e
 yotlNt p neSa
w  ophaoI sbw lem norIaeysgetmIl  nCaoajsoi
dpeil doe etndI
po
iate
  

 bD oaeoseiBjhege sCta g s
eY fiou
uSy eeoiaIwry
e a pobaopeg nld
