=== Evaluation Results for input_childSpeech_testSet.txt ===

Block size used: 128
Final Perplexity: 1.43
Average Loss: 0.3573
Number of blocks evaluated: 188

=== Loss Progression ===
Position,Loss
0,0.346487820148468
128,0.41603997349739075
256,0.3427281379699707
384,0.37634244561195374
512,0.28258273005485535
640,0.4428967237472534
768,0.3156551420688629
896,0.3894992768764496
1024,0.41514697670936584
1152,0.42925480008125305
1280,0.3397935628890991
1408,0.4299309551715851
1536,0.38435956835746765
1664,0.3331069350242615
1792,0.4064738154411316
1920,0.34829196333885193
2048,0.302543580532074
2176,0.419171005487442
2304,0.38803642988204956
2432,0.41817590594291687
2560,0.28215596079826355
2688,0.18706068396568298
2816,0.3485397696495056
2944,0.25245362520217896
3072,0.2832302749156952
3200,0.3671310544013977
3328,0.3453671336174011
3456,0.46315041184425354
3584,0.3430546522140503
3712,0.4163392186164856
3840,0.35375258326530457
3968,0.406059205532074
4096,0.31458786129951477
4224,0.30841854214668274
4352,0.37861940264701843
4480,0.3601832091808319
4608,0.28895577788352966
4736,0.3524853587150574
4864,0.4296594262123108
4992,0.43128693103790283
5120,0.34428003430366516
5248,0.4212563633918762
5376,0.2611948549747467
5504,0.335773766040802
5632,0.3123888075351715
5760,0.29447659850120544
5888,0.3106015622615814
6016,0.3015417456626892
6144,0.30153292417526245
6272,0.38519740104675293
6400,0.336426317691803
6528,0.49375811219215393
6656,0.3486787676811218
6784,0.31610363721847534
6912,0.36817467212677
7040,0.33657142519950867
7168,0.4031003713607788
7296,0.3899082541465759
7424,0.37892311811447144
7552,0.40938371419906616
7680,0.4271690845489502
7808,0.29001373052597046
7936,0.4187116026878357
8064,0.3653334081172943
8192,0.34833815693855286
8320,0.36144140362739563
8448,0.38292059302330017
8576,0.3138752281665802
8704,0.3885576128959656
8832,0.3254075050354004
8960,0.40096741914749146
9088,0.3118228614330292
9216,0.33340996503829956
9344,0.39760351181030273
9472,0.4502543807029724
9600,0.34846657514572144
9728,0.34253525733947754
9856,0.37797677516937256
9984,0.43525877594947815
10112,0.4371626377105713
10240,0.4008845090866089
10368,0.3177834153175354
10496,0.46517786383628845
10624,0.2910972535610199
10752,0.3210946321487427
10880,0.3202217221260071
11008,0.43816259503364563
11136,0.42389634251594543
11264,0.35545480251312256
11392,0.4223240613937378
11520,0.3189864158630371
11648,0.38351163268089294
11776,0.3999239504337311
11904,0.3434121906757355
12032,0.4385351538658142
12160,0.32260075211524963
12288,0.38420817255973816
12416,0.3358322083950043
12544,0.35617172718048096
12672,0.27291420102119446
12800,0.3039415776729584
12928,0.3062528371810913
13056,0.4015342891216278
13184,0.36572831869125366
13312,0.24862751364707947
13440,0.3674977421760559
13568,0.3973214328289032
13696,0.3805689215660095
13824,0.34940478205680847
13952,0.3962950110435486
14080,0.378772497177124
14208,0.37572845816612244
14336,0.40372389554977417
14464,0.20693644881248474
14592,0.39417073130607605
14720,0.30529841780662537
14848,0.34585851430892944
14976,0.3412090539932251
15104,0.38301822543144226
15232,0.3682999908924103
15360,0.30703625082969666
15488,0.39521241188049316
15616,0.3332546055316925
15744,0.4025321900844574
15872,0.3236290216445923
16000,0.31422537565231323
16128,0.3741922080516815
16256,0.3946416974067688
16384,0.2376653254032135
16512,0.36715084314346313
16640,0.3155021667480469
16768,0.32194212079048157
16896,0.3002254366874695
17024,0.3559868037700653
17152,0.32067030668258667
17280,0.3905535340309143
17408,0.2692379653453827
17536,0.3562996983528137
17664,0.385204017162323
17792,0.4286123514175415
17920,0.4279249608516693
18048,0.2959080636501312
18176,0.40980201959609985
18304,0.3479005992412567
18432,0.4130858778953552
18560,0.32905593514442444
18688,0.4049707353115082
18816,0.17038531601428986
18944,0.3233802616596222
19072,0.3227507472038269
19200,0.4107082486152649
19328,0.308704674243927
19456,0.4676821827888489
19584,0.337403804063797
19712,0.33127105236053467
19840,0.408319890499115
19968,0.40541160106658936
20096,0.28054335713386536
20224,0.3791801631450653
20352,0.2905450761318207
20480,0.18772655725479126
20608,0.34059417247772217
20736,0.35599690675735474
20864,0.24617841839790344
20992,0.2956063747406006
21120,0.4042541980743408
21248,0.34792041778564453
21376,0.40519991517066956
21504,0.2591114342212677
21632,0.37914469838142395
21760,0.33431148529052734
21888,0.33740583062171936
22016,0.4344373345375061
22144,0.3637731373310089
22272,0.3538956046104431
22400,0.36676645278930664
22528,0.4097452461719513
22656,0.44201236963272095
22784,0.3640873432159424
22912,0.37112516164779663
23040,0.3971799314022064
23168,0.4353209435939789
23296,0.37631547451019287
23424,0.29988837242126465
23552,0.31257233023643494
23680,0.2888433337211609
23808,0.35956665873527527
23936,0.4703240990638733

=== Text Generation ===
Context used (128 characters):
Look airplane I want cookie
I love you I found it
I see doggy No touch
I tired Night night
Yummy apple Night night
Night night N

Generated text:
o nap
Uh oh spill Help me please
Mama I want play with big red ball outside More bubbbles
Big hug All gone
No like it Big truck
Help me please I want that
No mine Big truck
Big truck Daddy read me din
