=== Evaluation Results for input_shakespeare.txt ===

Block size used: 128
Final Perplexity: 40.01
Average Loss: 3.6892
Number of blocks evaluated: 8714

=== Loss Progression ===
Position,Loss
0,3.737887144088745
128,3.874298334121704
256,3.901233673095703
384,4.011927127838135
512,3.3009729385375977
640,3.2623088359832764
768,3.228339672088623
896,3.4496147632598877
1024,3.655306100845337
1152,3.503662347793579
1280,3.6741256713867188
1408,3.169933557510376
1536,3.384108543395996
1664,3.48512864112854
1792,3.408461570739746
1920,3.9662821292877197
2048,3.4857418537139893
2176,4.053880214691162
2304,3.405362606048584
2432,3.6765642166137695
2560,3.8920774459838867
2688,3.480011463165283
2816,3.297496795654297
2944,3.4177210330963135
3072,3.47409725189209
3200,3.559744358062744
3328,3.598384380340576
3456,3.264500141143799
3584,3.624917984008789
3712,3.384006977081299
3840,3.792940855026245
3968,3.6095380783081055
4096,3.4794209003448486
4224,3.318354368209839
4352,3.6065633296966553
4480,4.080812454223633
4608,3.6533098220825195
4736,3.312643527984619
4864,3.8830151557922363
4992,3.2529690265655518
5120,4.113931179046631
5248,4.056403160095215
5376,3.7180898189544678
5504,4.104700088500977
5632,3.652275562286377
5760,3.5000946521759033
5888,3.378690481185913
6016,3.458104372024536
6144,3.7830238342285156
6272,3.8775315284729004
6400,3.6379120349884033
6528,3.7278687953948975
6656,3.3663225173950195
6784,3.3108811378479004
6912,3.956576108932495
7040,3.500260829925537
7168,3.3447537422180176
7296,3.849684476852417
7424,3.6523489952087402
7552,3.5143790245056152
7680,3.508056163787842
7808,3.445598602294922
7936,3.3382461071014404
8064,3.522772789001465
8192,3.4107298851013184
8320,3.3189857006073
8448,3.7632315158843994
8576,3.9315857887268066
8704,3.307882785797119
8832,3.3567442893981934
8960,3.831573724746704
9088,3.4594719409942627
9216,3.903670310974121
9344,3.280332088470459
9472,3.519716739654541
9600,3.3193607330322266
9728,3.872359037399292
9856,3.993213176727295
9984,3.6619207859039307
10112,4.173162460327148
10240,3.8428847789764404
10368,3.868971586227417
10496,3.519498825073242
10624,3.7296152114868164
10752,3.637058973312378
10880,3.9715280532836914
11008,3.8682379722595215
11136,3.9940733909606934
11264,4.263820171356201
11392,3.5745689868927
11520,4.020743370056152
11648,4.197225093841553
11776,3.759293794631958
11904,3.5652241706848145
12032,3.711498498916626
12160,3.296414613723755
12288,3.5829875469207764
12416,3.7926557064056396
12544,3.4289369583129883
12672,3.5655503273010254
12800,3.85276198387146
12928,3.5673797130584717
13056,3.3822021484375
13184,3.4021224975585938
13312,3.644272804260254
